split,experiment,seed,comparison_tier,map50_95,map50,map75,ap_s,ap_m,ap_l,ball_ap,ball_ap_s,ball_recall,bat_ap,tiny_ball_recall,small_ball_recall,large_ball_recall,checkpoint_sha256
test,P2-Partial25-Clean,42,strict_fair,0.5892745980584324,0.8492898831898759,0.6352867045995504,0.3397506970780079,0.5791663045402202,0.6813419960124355,0.5438653073544306,0.3781303766879444,0.9681908548707754,0.6346838887624341,0.76,0.978494623655914,0.9794520547945206,429d205ab5320e59d9499daa6b3872c4418bf8bae0292044d76ae6fd334e6a70
test,P2-Partial25-Clean,43,strict_fair,0.45689275524963274,0.7309586781563157,0.4977424227720586,0.2500070945840413,0.4429884851385514,0.5548022216314535,0.37067558246169235,0.2594290058138227,0.904572564612326,0.5431099280375733,0.36,0.9247311827956989,0.9383561643835616,543c0e6027658c3891a3d5076b4369b7f117ab79271a8d6dce420396d9eee509
test,P3-M7-Clean,42,strict_fair,0.5744662021490555,0.8440722940849573,0.6509301273466465,0.33304170590423365,0.5636642105636073,0.640307744187646,0.5127504664879702,0.3429571818732824,0.9502982107355865,0.6361819378101409,0.64,0.967741935483871,0.9657534246575342,e87f0f8998a52adad53b3500606a34ed542eb9721773a1083e62b9f2dac2cea7
test,P3-M7-Clean,43,strict_fair,0.5772440076833444,0.8531521993924542,0.6423805244507118,0.3448980625488536,0.626908686319636,0.6546940103937621,0.5240793005875618,0.36699604596159496,0.9463220675944334,0.630408714779127,0.6,0.956989247311828,0.9691780821917808,b39200bc50dd49bb480c687363602a91de1b20851d896c2307aa88109eebe797
test,P3-Lite35-Clean,42,strict_fair,0.5826108385865908,0.8432890089347693,0.646743831653468,0.34961372156738857,0.6210807519875072,0.6693638139319875,0.51517452890066,0.38262730021697056,0.9403578528827038,0.6500471482725214,0.64,0.967741935483871,0.9486301369863014,6deb1a9a719646465e6ed05284aa10696e3da8f643ce26725f94eb3216f66067
test,P3-Lite35-Clean,43,strict_fair,0.5966242290446231,0.8591130194199271,0.6598129556939332,0.39944635507279336,0.615345187403158,0.6745613669294568,0.5457520081529391,0.37376448084352687,0.9463220675944334,0.6474964499363071,0.76,0.967741935483871,0.9486301369863014,8c6587508bc8b7fc719d6726775a97264f2dd72d7ef1c46607ee3d85c5abc8cd
test,P3-Lite35-F7-Clean,42,strict_fair,0.533907562813166,0.7981055865522045,0.5507302534032881,0.30567361913906377,0.45945284961667315,0.6951765662685198,0.46493207305282386,0.2622181744518523,0.9602385685884692,0.602883052573508,0.6,0.946236559139785,1.0,0c053b2552d00ab13ad88e1925cde1464fdb6c941f32e702721cfc3caf9a25ec
test,P3-Lite35-F7-Clean,43,strict_fair,0.5866744651259654,0.8607872496781656,0.641747238281072,0.3809974956616206,0.5415687460603588,0.6605662649094267,0.5139193616687009,0.37747010055442487,0.9343936381709742,0.65942956858323,0.64,0.9408602150537635,0.9554794520547946,80b64a5d744fa3126718eea5e602bcdd52ef5384da731bc1bf8f7c9bee985362
test,P3-Partial50-Clean,42,strict_fair,0.5071775969398605,0.7867826122673639,0.5462446994767713,0.39331349286714246,0.5409573480156443,0.5410391028165161,0.3798121169250857,0.3475838044682544,0.9502982107355865,0.6345430769546353,0.64,0.956989247311828,0.9726027397260274,5399cf421af88410b91086c69afcc2bb9ffb8a54913328d82ff28b7740547400
test,P3-Partial50-Clean,43,strict_fair,0.578871135705943,0.8435418488726968,0.6376966685212488,0.3745145119231668,0.6022888718315679,0.6363460282547969,0.5144054413780873,0.36218270318174905,0.94831013916501,0.6433368300337988,0.72,0.946236559139785,0.9691780821917808,0f495cdbe4cdda7ae82e0ab59348f753af10581bddb2e3a312b67c443079415b
test,P3-Partial25-Clean,42,strict_fair,0.5878237213687353,0.8393813856400386,0.6544851674080959,0.38745141918951553,0.6047535725536974,0.6784808402700339,0.5542986718694776,0.392863056566868,0.9502982107355865,0.6213487708679929,0.64,0.9623655913978495,0.9691780821917808,bc7ebca210def1a95a2f59cb1f5c6da6b68cbc48c0477379ea5a90077ddb5a5f
test,P3-Partial25-Clean,43,strict_fair,0.5836999159212986,0.8321573263297911,0.6599226383750664,0.35164396757937305,0.5579029973864337,0.6712278003036183,0.50525690452565,0.30157919839930497,0.9463220675944334,0.662142927316947,0.6,0.956989247311828,0.9691780821917808,76494ac115003e953d112bf9ae4914a0a89bad8ce8ba32a2a4013f03039fac61
test,P2-Control-Clean-Head,42,optimization_control,0.00011205512443136206,0.00016724645437516726,0.00015052180893765054,0.0,0.0010328810658843661,0.0,0.0,0.0,0.03578528827037773,0.00022411024886272412,0.0,0.08064516129032258,0.010273972602739725,75647cfe35340c5c9a046a81fa64f7375f696a4920cf9cf35694ed07ee67eb80
test,P2-Control-Clean-Head,43,optimization_control,0.011469611111245195,0.03152276271163984,0.006615944124550352,0.0015339509714103643,0.012673298643042182,0.05958306613031567,0.011587401701167952,0.0016194581819075798,0.8011928429423459,0.011351820521322435,0.2,0.8494623655913979,0.821917808219178,2ff70727eb966e59dd31630853105104c4e784ca28caf85c7c707b647301da8f
test,P2-Control-Clean-Full,42,optimization_control,0.6514697641189601,0.8952966820967139,0.720702968618824,0.434528545931547,0.609413375399637,0.7562244698335674,0.6069452598774857,0.38275378786260306,0.9562624254473161,0.6959942683604345,0.68,0.956989247311828,0.9794520547945206,4744ce87fc8f44ab896271c129df252548ca353ff8adb834cd16e20a83cd1f4d
test,P2-Control-Clean-Full,43,optimization_control,0.6495171937394876,0.8921313508640812,0.7369021664362077,0.41047987957253756,0.59297144021666,0.7774295376205098,0.6343760939909896,0.4050473022426635,0.9721669980119284,0.6646582934879857,0.88,0.967741935483871,0.9828767123287672,ecb0c85868aea1b5fbf28802897dad3b358d6ad51f88f07f86589940020dcee0
